comment_id,create_time,ip_location,aweme_id,content,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,sub_comment_count,like_count,last_modify_ts,parent_comment_id,pictures,source_platform,create_date_time,note_id,comment_like_count,gender,profile_url,cluster_label,processed_content.1
5.24E+15,1765189313,浙江,,我基本上都是用XX点的,2695192893,,,,,Carine小瓶子,"https://tvax4.sinaimg.cn/crop.0.0.750.750.180/a0a5613dly8gktnoujxp2j20ku0kuju9.jpg?KID=imgbed,tva&Expires=1766839936&ssig=5Wn7K4qx3p",1,,1.76683E+12,5.24153E+15,,微博,2025-12-08 10:21:53+08:00,5.24E+15,3,f,https://m.weibo.cn/u/2695192893?launchid=10000360-page_H5,其他内容,基本上 用点
5.24E+15,1765188597,湖北,,我是没点过外卖，个人觉得XX最受欢迎,6068083919,,,,,夏凉方童,"https://tvax3.sinaimg.cn/crop.0.0.996.996.180/006CF3Phly8ghup9cilr4j30ro0roq4l.jpg?KID=imgbed,tva&Expires=1766839936&ssig=X3HfCte97e",1,,1.76683E+12,5.24152E+15,,微博,2025-12-08 10:09:57+08:00,5.24E+15,3,f,https://m.weibo.cn/u/6068083919?launchid=10000360-page_H5,其他内容,没点 个人 觉得 受欢迎
5.24E+15,1765190643,浙江,,基本上都是XX的，XX偶尔点一次，XX几乎不点,7575935920,,,,,一只飞天的小青蛙,"https://tvax4.sinaimg.cn/crop.0.0.1024.1024.180/008gHR0Qly8i3m2f8y7jmj30sg0sgq5r.jpg?KID=imgbed,tva&Expires=1766839936&ssig=BBQcLYvgSa",0,,1.76683E+12,5.24153E+15,,微博,2025-12-08 10:44:03+08:00,5.24E+15,4,f,https://m.weibo.cn/u/7575935920?launchid=10000360-page_H5,平台体验,基本上 偶尔 一次 几乎
5.24E+15,1765209680,天津,,我都用，就看谁的优惠多了，现在一般是在用XX,3570607227,,,,,hahahoney,"https://tva4.sinaimg.cn/crop.63.151.648.648.180/d4d3247bjw1f3y4q4i8d9j20mi0u0gzo.jpg?KID=imgbed,tva&Expires=1766839936&ssig=eVz2xrjfjJ",1,,1.76683E+12,5.24161E+15,,微博,2025-12-08 16:01:20+08:00,5.24E+15,1,m,https://m.weibo.cn/u/3570607227?launchid=10000360-page_H5,价格优惠,优惠 现在 一般
5.24E+15,1765215597,广西,,我一直在XX或者XX,6086374635,,,,,唯美视觉集,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/006DTO4Ply8i6ahhv9279j30u00u040m.jpg?KID=imgbed,tva&Expires=1766840040&ssig=tRurYD6WPY",0,,1.76683E+12,5.24164E+15,,微博,2025-12-08 17:39:57+08:00,5.24E+15,0,f,https://m.weibo.cn/u/6086374635?launchid=10000360-page_H5,平台体验,一直 或者
5.25E+15,1766601056,江苏,,真的太无语了，XX用了好多年XX平均点两三单外卖还有打车，等级出来以后一直是黑钻二，结果莫名其妙点个外卖就显示网络问题，至今没解决,5113666984,,,,,#NAME?,"https://tvax4.sinaimg.cn/crop.6.0.1230.1230.180/005A4qnKly8fkepbys6g5j30yi0y6div.jpg?KID=imgbed,tva&Expires=1766840040&ssig=Mh%2BOpk8IHY",0,,1.76683E+12,5.24745E+15,,微博,2025-12-24 18:30:56+08:00,5.24E+15,0,f,https://m.weibo.cn/u/5113666984?launchid=10000360-page_H5,平台体验,真的 太无语 好多年 平均 两三 还有 打车 等级 出来 一直 结果 莫名其妙 点个 显示 网络 问题 至今 解决
5.24E+15,1765322901,北京,,谁红包多用谁,5695563926,,,,,白泽宫,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/006ds0mily1gzb4xlnlezj30u00u076a.jpg?KID=imgbed,tva&Expires=1766840040&ssig=URPl9QeJ4W",0,,1.76683E+12,5.24209E+15,,微博,2025-12-09 23:28:21+08:00,5.24E+15,0,m,https://m.weibo.cn/u/5695563926?launchid=10000360-page_H5,价格优惠,红包 多用
5.24E+15,1765215636,重庆,,自从用了XX，就没用过其他,6077700034,,,,,天刚刚亮了呀,"https://tvax2.sinaimg.cn/crop.0.0.512.512.180/006DjppUly8hr2obmb5unj30e80e80t3.jpg?KID=imgbed,tva&Expires=1766840040&ssig=ELdPqRDTW%2B",0,,1.76683E+12,5.24164E+15,,微博,2025-12-08 17:40:36+08:00,5.24E+15,0,f,https://m.weibo.cn/u/6077700034?launchid=10000360-page_H5,平台体验,自从 没用过 其他
5.24E+15,1765228834,河北,,哈哈哈我用支付宝里的，它直接跳转XX,6098192417,,,,,右右妈妈_,"https://tvax2.sinaimg.cn/crop.0.0.1080.1080.180/006EHoqdly8i7xo0f7ia9j30u00u0dna.jpg?KID=imgbed,tva&Expires=1766840051&ssig=sS8Y2XFZdN",0,,1.76683E+12,5.24169E+15,,微博,2025-12-08 21:20:34+08:00,5.24E+15,0,f,https://m.weibo.cn/u/6098192417?launchid=10000360-page_H5,其他内容,哈哈哈 我用 支付宝 直接 跳转
5.24E+15,1765213031,安徽,,好主意，我现在用XX，不过我点外卖不多,5634948941,,,,,心诚则灵境,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/0069lFDfly8i5htck7t0sj30u00u0wgy.jpg?KID=imgbed,tva&Expires=1766840051&ssig=OppNcYJ1AS",0,,1.76683E+12,5.24162E+15,,微博,2025-12-08 16:57:11+08:00,5.24E+15,0,f,https://m.weibo.cn/u/5634948941?launchid=10000360-page_H5,平台体验,主意 现在 不过 我点
